company name,location,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,Certificates,,Other Certificates,supplier_url,exhibitor_url,Company Background
Weinifa Watch Industrial Co. Limited,Hong Kong,Manufacturer,"Digital Watch,Skeleton Mechanical Watch,Mechanical Hands & Digital Watch,24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Diver Watch,Sports Timer Watch,Chronograph Watch,Ladies Watch,Kids Watch,Mens Watch,Moon Phase Mechanical Watch",1. Professional Manufacturer 2. OEM & ODM: Custom your own brand watches 3. High Quality 4. Competitive price 5. Fast Delivery 6. Samll orders are accepted,"OEM, ODM, OBM",Tierdax,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 HKTDC Hong Kong Watch & Clock Fair 2015,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MIT3?fairCode=hkwatchfair&locale=en,
ZERA INTERNATIONAL LIMITED,Hong Kong,Distributor,"Skeleton Mechanical Watch,Quartz Analogue Watch,Diver Watch",BRAND WATCHES,"OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RKLP?fairCode=hkwatchfair&locale=en,
Brannew Watch. Inc,"Korea, Republic Of","Wholesaler, Manufacturer, Retailer, Exporter","Quartz Analogue Watch,Ladies Watch,Mens Watch",Pride in craftsmanship passed down through two generations. Brand New Watch started as a case processing company in 1988 and has developed innovative technology and We produce and customize our products in-house with luxurious designs filled with v,"ODM, OEM","BRANNEW ,WOORIN",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005PFYR?fairCode=hkwatchfair&locale=en,
"S&K Time Co., Ltd.",Chinese Mainland,"Export Agent, Import Agent, Exporter, Importer","Digital Watch,Mechanical Hands & Digital Watch,24 Hour Dial Mechanical Watch,Diver Watch,Chronograph Watch,Jewelled-lever Automatic Watch,Ladies Watch,Brandname Watch,Designer Watch,Kids Watch",watches,"OBM, ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RNLM?fairCode=hkwatchfair&locale=en,
"Shenzhen Benly Watch Co.,Ltd",Chinese Mainland,Manufacturer,"Ladies Watch,Mens Watch","male&female watch,","OEM, Others, ODM, OBM",Benlydesign,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005P2KA?fairCode=hkwatchfair&locale=en,
"Shenzhen DO Intelligent Technology Co., Ltd",Chinese Mainland,"Manufacturer, Exporter","Smart Watch,Bluetooth Smart Watch",Smart watch,"Others, OBM, ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2019 HKTDC Hong Kong Electronics Fair (Spring Edition) 2019 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2018 Show More,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005P0WC?fairCode=hkwatchfair&locale=en,
Morellato & Sector Limited,Hong Kong,Others,"Quartz Analogue Watch,Chronograph Watch,Jewelled-lever Automatic Watch,Pilot Watch,Ladies Watch,Brandname Watch,Designer Watch,Mens Watch",Luxury Italian Watch and Jewelry brands,Others,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005OKMM?fairCode=hkwatchfair&locale=en,
New Herofame Company Limited,Hong Kong,"Wholesaler, Exporter, Manufacturer","Quartz Analogue Watch,Ladies Watch,Mens Watch",LADIES & MEN'S WATCH / QUARTZ ANALOG WATCHES,"ODM, OEM",NHF,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NHRA?fairCode=hkwatchfair&locale=en,
"Foshan Ailang Watch Co., Ltd",Chinese Mainland,"Manufacturer, Retailer, Exporter","Skeleton Mechanical Watch,Mechanical Hands & Digital Watch,24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Ladies Watch,Mens Watch,Moon Phase Mechanical Watch","Mechanical watch, quartz watch, belt watch, steel watch, ceramic watch","OEM, ODM, OBM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2025,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RNF4?fairCode=hkwatchfair&locale=en,
Taratec-VBL,India,"Exporter, Manufacturer","Watch Dial,Watch Hand,Fabric Watch Band,Leather Watch Band,Metal Watch Band","Taratec, a KDDL brand, leads India in watch hands with 90% market share. VBL Innovations, based in Bengaluru, crafts premium watch straps and leather goods, serving global brands with 25+ years of precision and innovation.",OEM,"Taratec,VLB Innovations",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005PS6Q?fairCode=hkwatchfair&locale=en,
"Good Time Industry Co., Limited",Hong Kong,"Exporter, Buying Cooperative, Manufacturer","Quartz Analogue Watch,Diver Watch,Sports Timer Watch,Chronograph Watch,Ladies Watch,Kids Watch,Mens Watch","20 years professional experience in Watch industry specialized in Stainless Steel and Alloy watches. Hard Working and motivated team, Creative design Stable supply chain team Integrated development, manufacturing in-house Own assembling line","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NM5Z?fairCode=hkwatchfair&locale=en,
Hong Fung Products Limited,Hong Kong,"Wholesaler, Manufacturer, Distributor","Watch Box,Advertising Equipment,PVC Packaging Box",Luxury packaging and display,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong International Jewellery Show 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2023,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MHPG?fairCode=hkwatchfair&locale=en,
Luen Shing (HK) Company Limited,Hong Kong,Distributor,"Watch Movement,Watch Glass,Metal Watch Band,Watch Battery","Silver oxide button cell, lithium button cell, alkaline button cell, other watch parts for example watch movement, watch bands etc.",Others,"Renata,Murata,Seizaiken",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2022 HKTDC Hong Kong Electronics Fair (Spring Edition) 2022 HKTDC Hong Kong Electronics Fair (Spring Edition) 2020,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJR8?fairCode=hkwatchfair&locale=en,
OVD Limited,Hong Kong,"Exporter, Manufacturer","Desk Clock,Diver Watch,Brandname Watch,Designer Watch,Mens Watch,Moon Phase Mechanical Watch,Metal Watch Case,Metal Watch Band,Watch Box,Aftersales Watch Services Equipment and Tool,Trade Publication & Service","OVD is a Hong Kong-based independent watch brand blending futuristic design with minimalist aesthetics. Known for concept-driven timepieces like the Full Moon series, OVD combines storytelling, quality materials, and limited production.",ODM,OVD,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005PUYC?fairCode=hkwatchfair&locale=en,
Youngs Watch Company Limited,Hong Kong,Manufacturer,"Digital Watch,Quartz Analogue Watch,Radio Control Watch,Diver Watch,Sports Timer Watch,Solar Watch,Ladies Watch,Designer Watch,Kids Watch,Mens Watch,Promotional Watch","Hong Kong Precision Group has been established for over 34 years, it is a well known international watch enterprise. In the early days, manufacture was carried out in Hong Kong","OEM, ODM","Nivia,Shan Cheng,Youngs",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2019 BASELWORLD 2019 - The Watch and Jewellery Show HKTDC Hong Kong Watch & Clock Fair 2018 BASELWORLD 2018 - The World Watch and Jewellery Show HKTDC Hong Kong Watch & Clock Fair 2017 BASELWORLD 2017 - The World Watch and Jewellery Show Show More,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJNK?fairCode=hkwatchfair&locale=en,
Yu Hing Manufacturing Co,Hong Kong,Manufacturer,"Watch Case,Rubber Watch Band,Silicone Watch Band","PLASTC WATCH CASE, PU STRAP, PVC STRAP, SILICON STRAP, RUBBER STRAP, FKM STRAP, WATCH PARTS","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 HKTDC Hong Kong Watch & Clock Fair 2015 Show More,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MINL?fairCode=hkwatchfair&locale=en,
"Dongguan Bonsem Intelligent Technology Co., Ltd.",Chinese Mainland,Manufacturer,"Ladies Watch,Mens Watch",Watch,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2023,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RQP7?fairCode=hkwatchfair&locale=en,
Gooten Innolife Corporation,Taiwan,Manufacturer,Watch Box,Watch Winder,"OEM, OBM, ODM",Jebely,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Electronics Fair 2022 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2022 HKTDC Hong Kong Gifts & Premium Fair 2020 HKTDC Hong Kong Watch & Clock Fair 2019 Show More,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RNCD?fairCode=hkwatchfair&locale=en,
"Jieyang Chuanghong Watch Industry Co., Ltd.",Chinese Mainland,Manufacturer,"Metal Watch Band, Metal Watch Band, Metal Watch Band",watch band,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NKLP?fairCode=hkwatchfair&locale=en,
"Shenzhen Carlistar Technology Co., Ltd",Chinese Mainland,Exporter,"Ladies Watch,Mens Watch","Smart Watch, Smart Wearing，smart ring","ODM, Others, OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005PH61?fairCode=hkwatchfair&locale=en,
Shenzhen Furitime Watch Limited,Chinese Mainland,"Exporter, Manufacturer","Digital Watch,Chronograph Watch,Designer Watch","provide all kind of high quality watches,like men watch,women watch,automatic watch,diving watch and quartz watch. also can provide ODM/OEM service,produce customized design.","OEM, ODM, OBM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NMJT?fairCode=hkwatchfair&locale=en,
"Shenzhen Grace Clock & Watch Co., Ltd",Chinese Mainland,"Manufacturer, Exporter","Digital Watch,Ladies Watch,Mens Watch",Watch,"ODM, OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RR9I?fairCode=hkwatchfair&locale=en,
"Shenzhen Mige Watches Co., Ltd.",Chinese Mainland,"Exporter, Charity / Welfare Organisation, Wholesaler, Shopping Mall, Distributor, Private Individual, Chain Store, Export Agent, Buying Office, Government, Retailer, Department Store, Buying Cooperative, Manufacturer","Digital Watch,Skeleton Mechanical Watch,Mechanical Hands & Digital Watch,24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Radio Control Watch,Diver Watch,Sports Timer Watch,Chronograph Watch,Jewelled-lever Automatic Watch,Pilot Watch,Solar Watch,Ladies Watch,Brandname Watch,Designer Watch,Kids Watch,Mens Watch,Moon Phase Mechanical Watch","The main exhibits of this exhibition are business, fashion, and sports watches, mainly made of stainless steel materials and imported movements","OBM, Others, ODM, OEM","MIGE,KUNEC",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RR5U?fairCode=hkwatchfair&locale=en,
Alvia Company Limited,Hong Kong,,,,,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005S990?fairCode=hkwatchfair&locale=en,
Biu Chun Watch Hands & Parts Manufacturers Limited,Hong Kong,"Manufacturer, Buying Office",Watch Hand,Watch Hands,OEM,Diamond Cut Watch Hand,,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 Hong Kong Watch Misison to Bangkok, Thailand HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2021 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2015 Show More",,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MI0I?fairCode=hkwatchfair&locale=en,
Chi Luen Watch Dial Company Limited,Hong Kong,,,,,,,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 Hong Kong Watch Misison to Bangkok, Thailand",,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005S983?fairCode=hkwatchfair&locale=en,
Creative Sky (HK) Technology Limited,Hong Kong,Manufacturer,"24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Diver Watch,Sports Timer Watch,Pilot Watch,Ladies Watch,Mens Watch,Metal Watch Case,Watch Dial,Watch Glass,Watch Hand,Watch Case,Metal Watch Band,Rubber Watch Band,Silicone Watch Band,Watch Buckle","watch, watch case ,watch band, dial,hands","Others, OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MIWU?fairCode=hkwatchfair&locale=en,
Eone Timepieces,Hong Kong,,"Quartz Analogue Watch,Brandname Watch","Eone Timepiece, often referred to simply as Eone, is a brand known for its innovative and inclusive design approach to timepieces. Eone's flagship product, is a watch designed to be accessible to both sighted and visually impaired",OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RKKS?fairCode=hkwatchfair&locale=en,
Global Trade Promotions Limited,Hong Kong,Service Company,Trade Publication & Service,"STYLE WATCH, STYLE WATCH PARTS, STYLE WATCH EXPRESS, www.estylewatch.com, www.styleawtch.com, Trade publications & E-commerce, b2b on-line Sourcing platform",Others,"STYLE WATCH ,STYLE WATCH PARTS,STYLE WATCH EXPRESS,www.estylewatch.com,www.styleawtch.com,HKPRODUCTS",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2025 HKTDC Hong Kong International Jewellery Show 2025 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Watch & Clock Fair 2024 Show More,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005PLCF?fairCode=hkwatchfair&locale=en,
Golden Dragon Industrial Ltd,Hong Kong,"Exporter, Manufacturer","Mechanical Hands & Digital Watch,Quartz Analogue Watch,Chronograph Watch,Ladies Watch,Designer Watch,Mens Watch",wrist watches,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 HKTDC Hong Kong Watch & Clock Fair 2015 HKTDC Hong Kong Watch & Clock Fair 2014 Show More,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJBK?fairCode=hkwatchfair&locale=en,
Ho Tat Trading Co,Hong Kong,Manufacturer,"Mechanical Hands & Digital Watch,Quartz Analogue Watch,Chronograph Watch,Ladies Watch,Mens Watch,Promotional Watch","Specialize in corporate gift sets, fashion watches, imitation jewelry, various box and packaging.","OBM, OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2019,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NM42?fairCode=hkwatchfair&locale=en,
Hong Kong Fashionshine Trading Ltd,Hong Kong,"Manufacturer, Retailer, Wholesaler","Watch Crown,Watch Dial,Watch Glass,Watch Hand,Metal Parts For Watch Module,Watch Case,Fabric Watch Band,Imitation Leather Watch Band,Leather Watch Band,Rubber Watch Band,Silicone Watch Band,Precious Metal Watch Band,Watch Buckle","Our company specializes in producing high-end quality watch accessories, customizing various difficult sapphire glass, sapphire lettering, various dials, hands, case, precision accessory customization, high-end strap, diamond inlay customization","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005N0GO?fairCode=hkwatchfair&locale=en,
Horological Industries Limited,Hong Kong,"Exporter, Buying Office","Skeleton Mechanical Watch,Quartz Analogue Watch,Diver Watch,Chronograph Watch,Jewelled-lever Automatic Watch,Ladies Watch,Brandname Watch,Designer Watch,Kids Watch,Mens Watch,Promotional Watch,Bluetooth Smart Watch","Complete range of timepieces from quartz analogue, BlueTooth connected smart watch, automatic/mechanical movement for Kids, Teenage, Men and Woman","Others, ODM","Rotary,Reflex Active,Tikkers,Radley",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005OB3G?fairCode=hkwatchfair&locale=en,
Hyde Industrial Company Limited,Hong Kong,"Manufacturer, Wholesaler",Metal Watch Band,Stainless steel expension watchbands,ODM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005OQGY?fairCode=hkwatchfair&locale=en,
Johnis Watch Ltd,Hong Kong,Manufacturer,"Quartz Analogue Watch,Diver Watch,Sports Timer Watch,Chronograph Watch,Ladies Watch,Kids Watch,Mens Watch,Promotional Watch","Professional OEM and ODM watch company, located in Hong Kong and Shenzhen, China that established in 2005. We have own designers and complete supply chain which can offer high quality in Stainless steel, Alloy and Plastic watches.","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MII0?fairCode=hkwatchfair&locale=en,
Mission Time Limited,Hong Kong,"Export Agent, Others, Service Company, Manufacturer, Exporter","Skeleton Mechanical Watch,Quartz Analogue Watch,Diver Watch,Sports Timer Watch,Chronograph Watch,Pilot Watch,Ladies Watch,Designer Watch,Mens Watch,Promotional Watch",Design and Manufacturing for Analogue Quartz Watches,"OEM, ODM, OBM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 HKTDC Hong Kong Watch & Clock Fair 2015 HKTDC Hong Kong Watch & Clock Fair 2014 HKTDC Hong Kong Watch & Clock Fair 2013 Show More,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005PV05?fairCode=hkwatchfair&locale=en,
"Perfectime Watch Co., Limited",Hong Kong,"Wholesaler, Exporter","Quartz Analogue Watch,Chronograph Watch,Ladies Watch,Mens Watch",kids watch gents watch ladies watch,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJQB?fairCode=hkwatchfair&locale=en,
"Swiss Grandstone Watch Industry (Hong Kong) Co., Limited",Hong Kong,"Manufacturer, Exporter","Watch Movement,Metal Parts For Watch Module,Aftersales Watch Services Equipment and Tool",We are expertise in designing and producing rotors and components for all mechanical movements. Our other business includes modifying and selling mechanical movement and producing movement spare parts.,OEM,GRANDSTONE,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2015,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJG5?fairCode=hkwatchfair&locale=en,
Tian Woo Technology Plating Ltd,Hong Kong,Manufacturer,,"PVD (Physical Vapor Deposition) is a high technology and environmental friendly plating which is a deposit layer on metal surface, done under vacuum condition. We have strong technical background to achieve and develop all kind of PVD on metals.",Others,,,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 Hong Kong Watch Misison to Bangkok, Thailand HKTDC Hong Kong Watch & Clock Fair 2023",,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MK2A?fairCode=hkwatchfair&locale=en,
Time Dealer Limited,Hong Kong,Trade/Industrial Organisation,Trade Publication & Service,"Time Dealer is an exclusive online platform for global watch dealers, offering marketplace visibility, auto-posting, and real-time market tracking to streamline luxury watch trading.",Others,Time Dealer,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RXO3?fairCode=hkwatchfair&locale=en,
Timerich Watch Limited,Hong Kong,"Manufacturer, Exporter","Mechanical Hands & Digital Watch,Sports Timer Watch","Plastic watch fashionable sport series LCD Sports Watch, LCD Multifuction Watch, Analog - Digital Watch",OEM,popart,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJT2?fairCode=hkwatchfair&locale=en,
"Valdus Technology Co., Ltd",Hong Kong,Manufacturer,"Smart Watch,Bluetooth Smart Watch",SMART WATCH,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RE57?fairCode=hkwatchfair&locale=en,
"Xinboli Hardware Products Technology (Hongkong) Co., Limited",Hong Kong,"Exporter, Manufacturer","Metal Watch Case,Watch Dial,Metal Watch Band,Precious Metal Watch Band,Watch Buckle","Coat of antifouling coating,DLC-functional coating","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NZSP?fairCode=hkwatchfair&locale=en,
